date|op|cash|fee
2017-10-27|hedge 1 @ 2797(-1.0714)|-27,970.00|-31.65
2017-11-13|hedge -1 @ 2834(1.3232)|28,340.00|-31.65
2017-11-16|hedge -1 @ 2861(1.1306)|28,610.00|-31.65
2017-11-27|hedge 9 @ 2893|-260,370.00|-284.85
2017-11-27|sell option @ 142.98|14,297.67|0.00
date|op|cash|fee
2017-09-08|buy option @ 68.69|-6,868.52|0.00
2017-09-08|hedge -6 @ 2717(5.5215)|163,020.00|-189.90
2017-09-13|hedge 1 @ 2690(-1.0594)|-26,900.00|-31.65
2017-09-18|hedge -1 @ 2741(1.0568)|27,410.00|-31.65
2017-09-22|hedge -1 @ 2790(1.3107)|27,900.00|-31.65
2017-10-13|hedge -1 @ 2855(1.9134)|28,550.00|-31.65
2017-10-20|hedge -1 @ 2852(1.0168)|28,520.00|-31.65
2017-11-27|hedge 9 @ 2893|-260,370.00|-284.85
2017-11-27|sell option @ 192.83|19,282.70|0.00
||-166.35
||-47.07
||-39.47
||-479.59
||-212.18
||42.93
||130.44
||198.37
||216.41
||-513.11
||279.31
||387.16
||-367.08
||-75.19
||-33.72
||-11.51
||321.79
||347.38
||723.80
||765.60
||-88.83
name=m_201801_close|avg=65.67
||-513.11|-385.24|-257.37|-129.50|-1.63|126.24|254.11|381.98|509.86|637.73|765.60
||2|1|2|6|1|3|3|1|0|2
